Name, Population, Area, Density

Monaco, 39242, 1, 39242,
Gabon, 2225734, 257, 8660.44,
Singapore, 5850342, 700, 8357.63,
Kazakhstan, 18776707, 2699, 6956.91,
Mauritania, 4649658, 1030, 4514.23,
Guyana, 786552, 196, 4013.02,
Libya, 6871292, 1759, 3906.36,
Suriname, 586632, 156, 3760.46,
Iceland, 341243, 100, 3412.43,
Namibia, 2540905, 823, 3087.37,
Bahrain, 1701575, 760, 2238.91,
Mongolia, 3278290, 1553, 2110.94,
Maldives, 540544, 300, 1801.81,
Malta, 441543, 320, 1379.82,
Bangladesh, 164689383, 130170, 1265.19,
Palestine State, 5101414, 6020, 847.41,
Micronesia, 548914, 700, 784.16,
Barbados, 287375, 430, 668.31,
Lebanon, 6825445, 10230, 667.2,
Mauritius, 1271768, 2030, 626.49,
San Marino, 33931, 60, 565.52,
Nauru, 10824, 20, 541.2,
South Korea, 51269185, 97230, 527.3,
Rwanda, 12952218, 24670, 525.02,
Netherlands, 17134872, 33720, 508.15,
Comoros, 869601, 1861, 467.28,
India, 1380004385, 2973190, 464.15,
Burundi, 11890784, 25680, 463.04,
Haiti, 11402528, 27560, 413.73,
Israel, 8655535, 21640, 399.98,
Tuvalu, 11792, 30, 393.07,
Belgium, 11589623, 30280, 382.75,
Philippines, 109581078, 298170, 367.51,
Japan, 126476461, 364555, 346.93,
Sri Lanka, 21413249, 62710, 341.46,
Grenada, 112523, 340, 330.95,
Marshall Islands, 59190, 180, 328.83,
Vietnam, 97338579, 310070, 313.92,
El Salvador, 6486205, 20720, 313.04,
Saint Lucia, 183627, 610, 301.03,
Pakistan, 220892340, 770880, 286.55,
Saint Vincent and the Grenadines, 110940, 390, 284.46,
United Kingdom, 67886011, 241930, 280.6,
Jamaica, 2961167, 10830, 273.42,
Trinidad and Tobago, 1399488, 5130, 272.8,
Qatar, 2881053, 11610, 248.15,
Luxembourg, 625978, 2590, 241.69,
Germany, 83783942, 348560, 240.37,
Kuwait, 4270571, 17820, 239.65,
Gambia, 2416668, 10120, 238.8,
Liechtenstein, 38128, 160, 238.3,
Uganda, 45741007, 199810, 228.92,
Sao Tome and Principe, 219159, 960, 228.29,
Nigeria, 206139589, 910770, 226.34,
Dominican Republic, 10847910, 48320, 224.5,
Antigua and Barbuda, 97929, 440, 222.57,
Switzerland, 8654622, 39516, 219.02,
North Korea, 25778816, 120410, 214.09,
Seychelles, 98347, 460, 213.8,
Italy, 60461826, 294140, 205.55,
Saint Kitts and Nevis, 53199, 260, 204.61,
Nepal, 29136808, 143350, 203.26,
Malawi, 19129952, 94280, 202.91,
Guatemala, 17915568, 107160, 167.19,
Andorra, 77265, 470, 164.39,
China, 1439323776, 9388211, 153.31,
Togo, 8278724, 54390, 152.21,
Indonesia, 273523615, 1811570, 150.99,
Kiribati, 119449, 810, 147.47,
Tonga, 105695, 720, 146.8,
Czechia (Czech Republic), 10708981, 77240, 138.65,
Thailand, 69799978, 510890, 136.62,
Ghana, 31072940, 227540, 136.56,
Denmark, 5792202, 42430, 136.51,
Cyprus, 1207359, 9240, 130.67,
Poland, 37846611, 306230, 123.59,
Moldova, 4033963, 32850, 122.8,
Azerbaijan, 10139177, 82658, 122.66,
France, 65273511, 547557, 119.21,
United Arab Emirates, 9890402, 83600, 118.31,
Ethiopia, 114963588, 1000000, 114.96,
Jordan, 10203134, 88780, 114.93,
Slovakia, 5459642, 48088, 113.53,
Portugal, 10196709, 91590, 111.33,
Sierra Leone, 7976983, 72180, 110.52,
Turkey, 84339067, 769630, 109.58,
